id,annotation_id,elementid
622,5496,"[["""", ""clause""], [""type"", ""intitulatio""]]"
1152,19008,"[["""", ""clause""], [""type"", ""witnesses""]]"
625,5499,"[["""", ""clause""], [""type"", ""arenga""]]"
64,2594,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
626,5500,"[["""", ""clause""], [""type"", ""notification""]]"
627,5501,"[["""", ""clause""], [""type"", ""disposition""]]"
572,5015,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
67,2597,"[["""", ""clause""], [""type"", ""notification""], [""@text"", ""sciatis-nos""]]"
583,5454,"[["""", ""clause""], [""type"", ""intitulatio""]]"
582,5453,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
76,2621,"[["""", ""clause""], [""type"", ""address""]]"
599,5471,"[["""", ""clause""], [""type"", ""address""]]"
65,2595,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
82,2627,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
598,5470,"[["""", ""clause""], [""type"", ""intitulatio""]]"
610,5484,"[["""", ""clause""], [""type"", ""address""]]"
624,5498,"[["""", ""clause""], [""type"", ""salutation""]]"
611,5485,"[["""", ""clause""], [""type"", ""address""]]"
597,5469,"[["""", ""clause""], [""type"", ""salutation""]]"
609,5483,"[["""", ""clause""], [""type"", ""address""]]"
628,5502,"[["""", ""clause""], [""type"", ""witnesses""]]"
77,2622,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
838,6149,"[["""", ""clause""], [""type"", ""intitulatio""]]"
951,7792,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vicecomitibus""]]"
1006,15641,"[["""", ""person""], [""type"", ""title""], [""@text"", ""iusticia""]]"
1088,18944,"[["""", ""clause""], [""type"", ""notification""], [""@text"", ""sciatis-quod""]]"
1121,18977,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
127,3024,"[["""", ""clause""], [""type"", ""address""]]"
1089,18945,"[["""", ""clause""], [""type"", ""holding""]]"
1090,18946,"[["""", ""clause""], [""type"", ""disposition""]]"
1091,18947,"[["""", ""clause""], [""type"", ""intitulatio""], [""@text"", ""w-rex-anglorum""]]"
129,3028,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vicesimo""]]"
132,3034,"[["""", ""clause""], [""type"", ""address""]]"
1122,18978,"[["""", ""clause""], [""type"", ""witnesses""]]"
1093,18949,"[["""", ""clause""], [""type"", ""notification""], [""@text"", ""sciatis""]]"
1094,18950,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1095,18951,"[["""", ""clause""], [""type"", ""witnesses""]]"
1096,18952,"[["""", ""clause""], [""type"", ""disposition""]]"
1097,18953,"[["""", ""clause""], [""type"", ""intitulatio""]]"
133,3037,"[["""", ""clause""], [""type"", ""disposition""]]"
1099,18955,"[["""", ""clause""], [""type"", ""address""]]"
1098,18954,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1100,18956,"[["""", ""clause""], [""type"", ""notification""], [""@text"", ""sciatis""]]"
1101,18957,"[["""", ""clause""], [""type"", ""witnesses""]]"
130,3031,"[["""", ""clause""], [""type"", ""witnesses""]]"
1102,18958,"[["""", ""clause""], [""type"", ""salutation""]]"
1103,18959,"[["""", ""clause""], [""type"", ""disposition""]]"
1104,18960,"[["""", ""clause""], [""type"", ""warrandice""]]"
1105,18961,"[["""", ""clause""], [""type"", ""holding""]]"
1106,18962,"[["""", ""clause""], [""type"", ""intitulatio""]]"
1107,18963,"[["""", ""clause""], [""type"", ""address""]]"
75,2604,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
69,2599,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1110,18966,"[["""", ""clause""], [""type"", ""disposition""]]"
107,2819,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1123,18979,"[["""", ""clause""], [""type"", ""intitulatio""]]"
1114,18970,"[["""", ""clause""], [""type"", ""intitulatio""]]"
1115,18971,"[["""", ""clause""], [""type"", ""address""]]"
1092,18948,"[["""", ""clause""], [""type"", ""address""]]"
1116,18972,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1117,18973,"[["""", ""clause""], [""type"", ""notification""]]"
1125,18981,"[["""", ""clause""], [""type"", ""notification""], [""@text"", ""sciatis-me""]]"
1126,18982,"[["""", ""clause""], [""type"", ""disposition""]]"
86,2797,"[["""", ""clause""], [""type"", ""address""]]"
1127,18983,"[["""", ""clause""], [""type"", ""injunction""]]"
1118,18974,"[["""", ""clause""], [""type"", ""disposition""]]"
1119,18975,"[["""", ""clause""], [""type"", ""injunction""]]"
1124,18980,"[["""", ""clause""], [""type"", ""address""]]"
1129,18985,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1130,18986,"[["""", ""clause""], [""type"", ""disposition""]]"
1131,18987,"[["""", ""clause""], [""type"", ""witnesses""]]"
88,2798,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1132,18988,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1133,18989,"[["""", ""clause""], [""type"", ""notification""], [""@text"", ""sciatis-quod""]]"
1134,18990,"[["""", ""clause""], [""type"", ""disposition""]]"
1135,18991,"[["""", ""clause""], [""type"", ""witnesses""]]"
1136,18992,"[["""", ""clause""], [""type"", ""boundaries""]]"
90,2801,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1137,18993,"[["""", ""clause""], [""type"", ""disposition""]]"
1138,18994,"[["""", ""clause""], [""type"", ""address""]]"
1139,18995,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1140,18996,"[["""", ""clause""], [""type"", ""disposition""]]"
1141,18997,"[["""", ""clause""], [""type"", ""witnesses""]]"
1142,18998,"[["""", ""clause""], [""type"", ""intitulatio""]]"
1143,18999,"[["""", ""clause""], [""type"", ""address""]]"
25,2551,"[["""", ""person""], [""type"", ""title""], [""@text"", ""iusticiis""]]"
1144,19000,"[["""", ""clause""], [""type"", ""notification""]]"
1120,18976,"[["""", ""clause""], [""type"", ""witnesses""]]"
108,2820,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1108,18964,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1109,18965,"[["""", ""clause""], [""type"", ""notification""], [""@text"", ""sciatis-quod""]]"
95,2806,"[["""", ""person""], [""type"", ""name""], [""@text"", ""thor-long""]]"
629,5503,"[["""", ""clause""], [""type"", ""holding""]]"
474,3657,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vicecomitibus""]]"
630,5504,"[["""", ""clause""], [""type"", ""disposition""]]"
631,5505,"[["""", ""clause""], [""type"", ""notification""]]"
632,5506,"[["""", ""clause""], [""type"", ""holding""]]"
952,7852,"[["""", ""clause""], [""type"", ""address""]]"
635,5509,"[["""", ""clause""], [""type"", ""witnesses""]]"
636,5510,"[["""", ""clause""], [""type"", ""notification""]]"
637,5511,"[["""", ""clause""], [""type"", ""disposition""]]"
638,5452,"[["""", ""clause""], [""type"", ""address""]]"
639,5512,"[["""", ""clause""], [""type"", ""disposition""]]"
9,2506,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vicecomite""]]"
68,2598,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
641,5513,"[["""", ""clause""], [""type"", ""holding""]]"
642,5514,"[["""", ""clause""], [""type"", ""injunction""]]"
954,7854,"[["""", ""clause""], [""type"", ""witnesses""]]"
649,5519,"[["""", ""clause""], [""type"", ""witnesses""]]"
650,5515,"[["""", ""clause""], [""type"", ""address""]]"
653,5518,"[["""", ""clause""], [""type"", ""notification""]]"
654,5521,"[["""", ""clause""], [""type"", ""disposition""]]"
657,5524,"[["""", ""clause""], [""type"", ""witnesses""]]"
659,5526,"[["""", ""clause""], [""type"", ""disposition""]]"
660,5527,"[["""", ""clause""], [""type"", ""witnesses""]]"
661,5528,"[["""", ""clause""], [""type"", ""sealing""]]"
662,5532,"[["""", ""clause""], [""type"", ""narration""]]"
663,5533,"[["""", ""clause""], [""type"", ""address""]]"
667,5539,"[["""", ""clause""], [""type"", ""sealing""]]"
668,5540,"[["""", ""clause""], [""type"", ""disposition""]]"
669,5541,"[["""", ""clause""], [""type"", ""notification""]]"
672,5548,"[["""", ""clause""], [""type"", ""witnesses""]]"
674,5551,"[["""", ""clause""], [""type"", ""address""]]"
675,5552,"[["""", ""clause""], [""type"", ""intitulatio""]]"
676,5553,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem-in-domino""]]"
677,5554,"[["""", ""clause""], [""type"", ""notification""], [""@text"", ""noueritis-quod""]]"
678,5555,"[["""", ""clause""], [""type"", ""sealing""]]"
679,5557,"[["""", ""clause""], [""type"", ""narration""]]"
680,5558,"[["""", ""clause""], [""type"", ""address""]]"
681,5559,"[["""", ""clause""], [""type"", ""intitulatio""]]"
682,5560,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem-in-domino""]]"
684,5562,"[["""", ""clause""], [""type"", ""witnesses""]]"
